Seed,Prop. class 1,Sel. bias,Method,Test set,pr,AUPRC,p.50,p.100,Bias effect
39,0.5,0.95,Semi-supervised,future,0.7645161290322581,0.6285819976412332,0.88,0.88,1.8453928115770535
12,0.5,0.0,traditional,future,0.7049084534476042,0.7774227539867952,0.96,0.96,1.2588085033549599
38,0.5,0.5,Veenman,future,0.8067010309278351,0.6233698258619655,0.94,0.91,2.310452700315317
27,0.05,0.5,Label_Propagation,future,0.3787638668779715,0.37262711271991433,0.72,0.64,1.1673221557355544
29,0.05,0.0,Label_spreading,future,0.0,0.21287454660425037,0.26,0.32,0.9862398465695803
5,0.5,0.0,Label_Propagation,future,0.5011521891594028,0.8137773978006726,1.0,1.0,2.0813277343473624
32,0.05,0.5,Self_Learning,future,0.1165374677002584,0.2952705890306132,0.6,0.53,0.7447045471511892
17,0.05,0.0,Label_Propagation,future,0.0,0.43210149586938984,0.78,0.69,1.2602756372334771
1,0.05,0.5,Label_Propagation,future,0.05384276591059238,0.3824043739931156,0.68,0.63,1.107113695113822
1,0.5,0.5,Label_Propagation,future,0.0,0.8331126298102032,1.0,0.96,2.223778953930873
15,0.05,0.5,traditional,future,0.11810551558752998,0.2194944461623682,0.48,0.42,1.2271875712742109
12,0.05,0.95,Semi-supervised,future,0.4685714285714286,0.36280741306232034,0.64,0.53,0.8925038548828175
32,0.05,0.95,Label_spreading,future,0.0501,0.4328095277850026,0.84,0.72,1.3095444763625204
22,0.5,0.95,Veenman,future,0.8071625344352618,0.645801786024002,1.0,0.98,1.9431022264616704
27,0.5,0.95,Label_spreading,future,0.5,0.7719873895054379,0.98,0.92,2.206740464213403
19,0.5,0.95,sample,,,,,,1.458006706445747
25,0.5,0.0,Label_spreading,future,0.5182945898050662,0.7979051473262035,0.98,0.99,2.2794456791403066
29,0.05,0.5,Veenman,future,0.5833333333333334,0.3092852004342513,0.56,0.6,0.8401507192500592
23,0.05,0.0,traditional,future,1.0,0.244578169329855,0.5,0.45,1.2308352905214355
12,0.05,0.5,sample,,,,,,0.45609963849834345
20,0.5,0.0,Veenman,future,0.0,0.6553080044986841,0.88,0.87,0.9616353551642095
